181	2893
215	3105
30	1546
89	3226
30	2437
30	1462
30	1069
30	1476
71	3427
30	745
692	3765
30	1818
30	1250
30	2187
30	1502
30	1093
89	3232
30	2427
30	838
184	2892
185	2977
636	3754
738	3796
178	2925
30	1933
30	1802
30	1496
602	3708
120	2779
30	942
30	1468
184	2933
267	3382
50	2754
30	2342
614	3782
30	2334
30	866
983	3982
30	1046
30	2121
178	2992
162	2881
30	2136
267	3362
30	1114
30	1659
233	3950
76	2710
30	1838
30	2447
30	1076
722	3772
116	2772
30	1771
30	3259
632	3590
160	2884
30	1919
30	918
30	3330
30	2468
694	3800
526	3521
30	1887
430	3435
30	1308
30	3241
897	3920
178	3161
30	2240
215	3090
30	2154
30	843
30	2031
30	1598
742	3980
30	1200
777	3842
734	3807
536	3526
30	1725
30	1298
30	1961
183	3013
30	1210
30	882
30	834
30	3303
183	3006
30	1222
165	3681
182	3040
30	833
175	3057
30	1388
81	2637
30	3350
30	815
30	1777
30	1073
30	805
30	3693
30	1178
267	3394
178	2928
897	3928
30	1085
30	2763
30	1592
30	1584
175	2917
30	2766
30	2455
30	1125
185	3159
654	3609
678	3785
691	3688
30	1082
30	2140
30	2234
30	2101
89	3230
30	1955
63	2633
59	2601
102	2767
697	3738
522	3489
30	837
743	3811
30	1705
267	3395
776	3841
30	789
30	719
30	2388
82	2677
174	3049
30	770
30	3251
30	1967
30	2037
116	2785
30	1450
193	3086
182	3037
30	1828
30	3341
30	1518
30	1842
813	3864
73	2609
30	1194
139	2868
30	1394
118	2776
30	1150
30	841
179	2959
30	1913
30	938
30	1063
612	3799
30	2286
219	3019
915	3951
277	3397
30	2401
627	3665
209	3026
30	1853
30	984
786	3847
294	3374
30	851
30	2375
840	3883
30	755
30	2080
30	1202
30	3260
30	2093
61	2612
30	1220
30	3418
30	1653
31	3262
694	3798
616	3710
30	1328
31	2620
30	2238
30	3261
837	3884
30	2759
30	1663
30	2208
30	725
30	1781
30	2336
30	1824
30	2549
139	2870
160	2910
522	3487
30	2087
30	2466
59	2551
68	2645
30	2411
30	1834
30	846
30	2459
30	1292
183	3011
11	763
929	3978
615	3746
646	3596
30	979
30	1340
175	2914
614	3682
30	2276
267	3354
250	3509
206	3213
30	2246
178	2942
185	3110
200	3166
30	1779
185	3112
30	1370
133	2844
30	937
30	935
30	2076
30	818
216	3135
30	1816
438	3481
61	2641
30	1737
30	3453
30	1151
11	810
30	3313
30	1612
30	709
30	1765
57	2547
30	2348
30	767
30	1949
328	3866
30	2160
30	2107
30	750
279	3364
30	1844
30	1907
320	3401
667	3631
30	2330
971	3974
30	2314
30	1154
30	1376
30	986
837	3882
914	3932
789	3849
179	2995
525	3524
7	2511
30	855
30	1138
30	1368
60	2555
30	2144
636	3781
30	1925
160	2913
30	707
30	1106
85	2625
30	1332
30	903
30	930
30	1572
528	3516
31	3860
30	2356
30	971
30	751
160	2912
30	828
30	2432
30	1133
139	3366
182	3041
30	1099
119	2777
193	2970
481	3455
919	3937
30	1590
30	1971
50	2752
761	3836
185	2973
680	3706
30	1068
139	2869
30	3346
788	3848
30	778
30	2117
752	3829
30	3248
30	2429
30	1787
30	1254
545	3513
30	1921
30	1472
178	3000
204	3186
30	1594
263	3511
30	2386
30	3344
30	1111
30	862
175	2916
30	3309
601	3646
30	2379
30	1637
198	3214
30	1574
160	2911
30	3288
692	3804
303	3381
30	1664
831	3893
30	2009
30	2063
30	844
30	835
30	1550
30	1072
30	1362
30	2089
178	2923
210	3020
115	2782
30	3306
183	2967
30	2284
30	3332
534	3494
30	951
30	2250
59	2599
30	2298
30	1655
426	3434
30	1132
30	761
30	1796
184	2936
665	3617
30	955
215	3201
30	1763
30	1066
214	3208
30	1144
30	1260
30	1976
30	912
185	3073
30	3287
30	2465
30	1580
30	1822
30	3417
30	1097
30	1352
233	3471
30	1943
522	3485
30	1773
8	3752
30	2435
214	3221
7	2517
30	905
30	3278
30	1053
181	3033
705	3724
71	3424
30	1058
83	2624
213	3197
176	3178
30	1028
176	2890
181	3034
30	3327
175	3165
536	3517
155	3240
30	3317
178	2929
30	1526
30	1775
30	1112
30	2340
154	2872
223	3069
155	3223
30	948
30	2166
30	1645
611	3779
179	3003
211	3027
30	2226
30	990
693	3764
178	2940
358	3408
30	1214
178	2922
208	3023
122	2780
30	1038
30	808
667	3636
791	3861
30	1326
30	972
185	3111
233	3436
30	1466
30	989
30	1695
127	2795
30	798
30	874
30	753
30	3302
30	2258
233	3393
182	3036
30	1177
175	3182
30	1883
642	3594
165	3733
30	2446
250	3522
30	1119
340	3402
73	2630
678	3749
